folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1echo_valve_abnorm,Abnormal Valve from Echocardiogram at Visit 1 (baseline),"",choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1ee,E/e' Ratio at Visit 1 (baseline),"",numeric,"","","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1eepathologic,Pathologic E/e' at Visit 1 (baseline),E/e' >=15 is considered pathologic ,choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1em,Septal e'  velocity at Visit 1 (baseline),"",numeric,cm/s,"","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1empathologic,Pathological septal e'  velocity at Visit 1 (baseline),Low Em thresholds: < 40 years old - =< 10; 40-59 years old - =< 8; >= 60 years old - =<6) <br> Low Em reflects impared relazation and diastolic dysfunction ,choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1hfpef_like,Binary indicator of having at least 2 of the 5 HFpEF-related abnormalities at Visit 1,"",choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1hfpef_like_score,Composite score (0Ã¢ÂÂ5) representing the number of heart failure with preserved ejection fraction (HFpEF)-related abnormalities at Visit 1,"Abnormalities include: dilated left atrial diameter, pathologic E/eÃ¢ÂÂ², pathologic left ventricular mass, pulmonary hypertension, and elevated NT-proBNP.",integer,"","","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1ivs,Interventricular Septum (IVS) thickness at Visit 1 (baseline),"",numeric,millimeters (mm),"","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1la,Left atrial diameter at Visit 1 (baseline),"",numeric,millimeters (mm),"","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1la_dilated,Dialated left atrial diameter at Visit 1 (baseline),Left atrial diameter > 40 for men or >39 for women is considered dialated,choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1lvdd,Left ventricular dimension at end-diastole at Visit 1 (baseline),"",numeric,millimeters (mm),"","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1lvds,Left ventricular dimension at end-systole at Visit 1 (baseline),"",numeric,millimeters (mm),"","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1lvm,Left Ventricular Mass (LVM) at Visit 1 (baseline),"",numeric,grams,"","",0.8 * (1.04 * (V1IVSd + V1LVDd + V1LVPWd) ** 3) - V1LVDd ** 3) / 1000 + 0.6,"",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1lvmi,Left Ventricular Mass Index (LVMI) at Visit 1 (baseline),"",numeric,grams per meter squared (g/m2),"","",V1_LVM / ((0.01 * LENGTH) ** 2.7),"",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1lvmpathologic,Pathologic LVM at Visit 1 (baseline),"",choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1lvpw,Left Ventricular Posterior Wall (LVPW) thickness at Visit 1 (baseline),"",numeric,millimeters (mm),"","","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1ntprobnp_high,High N-terminal pro b-type natriuretic peptide levels at Visit 1 (baseline) ,NTproBNP >=125  is high ,choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,v1pap,Pulmonary arterial pressureÃÂ (PAP) at at Visit 1(baseline),"",numeric,millimeters of mercury (mmHg),"","","","",""
